team,player,position,caps,club
United States,Alejandro Zendejas,MF,14,América
United States,Cristian Roldan,MF,47,Seattle Sounders FC
United States,Tyler Adams,MF,54,Bournemouth
United States,Brenden Aaronson,MF,58,Leeds United
United States,Gio Reyna,MF,0,
United States,Sebastian Berhalter,MF,13,Vancouver Whitecaps FC
United States,Malik Tillman,MF,30,Bayer Leverkusen
United States,Christian Pulisic,FW,86,Milan
United States,Tim Weah,FW,0,
United States,Haji Wright,FW,20,Coventry City
United States,Ricardo Pepi,FW,37,PSV Eindhoven
United States,Folarin Balogun,FW,27,Monaco
United States,Max Arfsten,FW,20,Columbus Crew
South Korea,Seung-Gyu Kim,GK,87,FC Tokyo
South Korea,Bum-keun Song,GK,3,Jeonbuk Hyundai Motors
South Korea,Hyeon-woo Jo,GK,48,Ulsan HD
South Korea,Min-Jae Kim,DF,79,Bayern Munich
South Korea,Moon-hwan Kim,DF,35,Daejeon Hana Citizen
South Korea,Han-bum Lee,DF,0,
South Korea,Young-woo Seol,DF,34,Red Star Belgrade
South Korea,Jin-seob Park,DF,14,Zhejiang
South Korea,Tae-hyeon Kim,DF,7,Kashima Antlers
South Korea,Gi-hyuk Lee,DF,3,Gangwon FC
South Korea,Tae-seok Lee,DF,15,Austria Wien
South Korea,Cho Wi-Je,DF,1,Jeonbuk Hyundai Motors
South Korea,Jens Castrop,MF,7,Borussia Mönchengladbach
South Korea,In-beom Hwang,MF,73,Feyenoord
South Korea,Dong-gyeong Lee,MF,18,Ulsan HD
South Korea,Jae-sung Lee,MF,105,Mainz 05
South Korea,Jin-Gyu Kim,MF,22,Jeonbuk Hyundai Motors
South Korea,Seung-Ho Paik,MF,27,Birmingham City
South Korea,Kang-in Lee,MF,47,Paris Saint-Germain
South Korea,Joon-ho Bae,MF,0,
South Korea,Hwang Heechan,FW,0,
South Korea,Heung-min Son,FW,144,Los Angeles FC
South Korea,Hyun-jun Yang,FW,9,Celtic
South Korea,Gue-Sung Cho,FW,44,Midtjylland
South Korea,Hyun-Gyu Oh,FW,0,
South Korea,Ji-sung Eom,FW,9,Swansea City
France,Brice Samba,GK,4,Rennes
France,Mike Maignan,GK,40,Milan
France,Robin Risser,GK,0,Lens
France,Theo Hernández,DF,44,Al-Hilal
France,Lucas Digne,DF,58,Aston Villa
France,Lucas Hernández,DF,42,Paris Saint-Germain
France,Jules Koundé,DF,48,Barcelona
France,Dayot Upamecano,DF,38,Bayern Munich
France,Ibrahima Konaté,DF,28,Liverpool
France,William Saliba,DF,32,Arsenal
France,Maxence Lacroix,DF,4,Crystal Palace
France,Malo Gusto,DF,11,Chelsea
France,N'Golo Kanté,MF,69,Fenerbahçe
France,Adrien Rabiot,MF,59,Milan
France,Aurélien Tchouameni,MF,46,Real Madrid
France,Manu Koné,MF,14,Roma
France,Rayan Cherki,MF,7,Manchester City
France,Maghnes Akliouche,MF,9,Monaco
France,Desire Doue,MF,7,Paris Saint-Germain
France,Warren Zaïre-Emery,MF,11,Paris Saint-Germain
France,Jean-Philippe Mateta,FW,4,Crystal Palace
France,Ousmane Dembélé,FW,59,Paris Saint-Germain
France,Kylian Mbappé,FW,98,Real Madrid
France,Marcus Thuram-Ulien,FW,0,
France,Michael Olise,FW,17,Bayern Munich
France,Bradley Barcola,FW,20,Paris Saint-Germain
South Africa,Ronwen Williams,GK,62,Mamelodi Sundowns
South Africa,Sipho Chaine,GK,3,Orlando Pirates
South Africa,Ricardo Goss,GK,4,Siwelele
South Africa,Aubrey Modiba,DF,44,Mamelodi Sundowns
South Africa,Nkosinathi Sibisi,DF,19,Orlando Pirates
South Africa,Khuliso Mudau,DF,32,Mamelodi Sundowns
South Africa,Olwethu Makhanya,DF,0,Philadelphia Union
South Africa,Bradley Cross,DF,0,Kaizer Chiefs
South Africa,Samukelo Kabini,DF,0,
South Africa,Ime Okon,DF,7,Hannover 96
South Africa,Mbekezeli Mbokazi,DF,10,Chicago Fire FC
South Africa,Khulumani Ndamane,DF,5,Mamelodi Sundowns
South Africa,Tholo Matuludi,DF,0,
South Africa,Themba Zwane,MF,53,Mamelodi Sundowns
South Africa,Teboho Mokoena,MF,51,Mamelodi Sundowns
South Africa,Sphephelo Sithole,MF,27,Tondela
South Africa,Jayden Adams,MF,4,Mamelodi Sundowns
South Africa,Thapelo Maseko,MF,9,AEL Limassol
South Africa,Thalente Mbatha,MF,14,Orlando Pirates
South Africa,Kamogelo Sebelebele,MF,2,Orlando Pirates
South Africa,Lyle Foster,FW,26,Burnley
