date,home_team,away_team,tournament,neutral,elo_diff,ppg5_diff,gd10_diff,morale_diff,rest_diff,att_vs_def,def_vs_att,streak_diff,exp_diff,h2h_rate,h2h_gd,heat_diff,hum_diff,alt_diff,travel_diff,tz_east_diff,is_wc,home_goals,away_goals,outcome
2005-10-12,Paraguay,Colombia,FIFA World Cup qualification,0,180.96744585804936,0.9000000000000004,-0.3,0.5007664033849252,0,1.1296366582922106,-1.6457960230704392,3,-4.05320056442104,0.5,-0.3,-5.0,0,0.0,-3.778606935329237,-1.099333333333334,0,0,1,0
2005-10-12,Peru,Bolivia,FIFA World Cup qualification,0,80.3027508706034,0.0,-0.09999999999999998,-0.0768996281815065,0,0.25390585930914145,-0.48961000653682707,-1,-2.0425347176762223,0.35,-0.6,-2.872985799290987,0,0.0,-1.3892206376372072,0.0,0,4,1,2
2005-10-12,Portugal,Latvia,FIFA World Cup qualification,0,557.9434367972958,1.2000000000000002,2.0,-0.15250885889151297,0,0.7265917884060293,-0.9054566906837922,6,1.4394658200722077,1.0,1.6666666666666667,-13.884848566643957,0,0.0,-3.1768854479391524,0.0,0,3,0,2
2005-10-12,San Marino,Spain,FIFA World Cup qualification,0,-969.6081989276786,-2.4000000000000004,-4.6,-0.029564123032164213,0,0.003608701889119048,0.7466466470831521,-12,7.263961241220855,0.0,-6.666666666666667,0.0,-1,0.0,-1.3854599942759918,-1.0774185566387815,0,0,6,0
2005-10-12,Serbia,Bosnia and Herzegovina,FIFA World Cup qualification,0,188.93883266922444,-0.5999999999999996,0.2,-0.02004866421361226,0,0.9642410846444566,-0.675124107589114,0,-1.1631281813364573,0.75,1.0,7.4093795454618885,0,0.0,-1.0,0.0,0,1,0,2
2005-10-12,Slovenia,Scotland,FIFA World Cup qualification,0,88.4552539949184,-0.2999999999999998,-0.4,-0.05428497818888964,0,0.2089997886105035,-0.47475638049326685,0,0.3842276829649762,0.5,0.0,0.0,0,-0.055,-1.6608471643484377,-1.2053757933315845,0,0,3,0
2005-10-12,Luxembourg,Estonia,FIFA World Cup qualification,0,-545.9061431464104,-1.7999999999999998,-3.0999999999999996,-0.21500926840906853,0,-0.48919176338046066,2.27671077097041,0,9.068151086573204,0.25,-2.0,-3.1055058180325688,0,0.0,-1.6124721810504798,0.0,0,0,2,0
2005-10-12,Wales,Azerbaijan,FIFA World Cup qualification,0,290.7614402200163,0.5999999999999999,1.5,0.15989025453580036,-31,-0.1018309489541156,0.38352278679168517,0,5.366493756488055,0.8333333333333334,2.0,-6.137217847971712,0,0.0,-1.0,0.0,0,2,0,2
2005-10-12,Sweden,Iceland,FIFA World Cup qualification,0,544.0069235342987,0.5999999999999996,1.7999999999999998,-0.06211145238740068,-1,0.942442953814145,-1.787899321858476,0,-1.5640252675170387,0.7,0.9,-10.793263220719297,0,0.0,-1.9944646943487234,-2.4751219780707325,0,3,1,2
2005-10-12,Trinidad and Tobago,Mexico,FIFA World Cup qualification,0,-225.50461297876518,-0.5999999999999996,-1.2,0.21635437236296987,0,0.6451700794561466,-2.2453850454147855,-1,-7.683803377029687,0.15,-2.4,-4.354569526595668,-1,0.0,-4.168948029905571,-2.5171756133491687,0,2,1,2
