player,team,season,position,age,minutes,goals,assists
Fran García,Real Madrid,2024-25,DF,25,263,0,0
Francesco Acerbi,Inter Milan,2024-25,DF,37,770,1,1
Francesco Camarda,AC Milan,2024-25,FW,17,35,0,0
Francis Onyeka,Bayer 04 Leverkusen,2024-25,MF,18,14,0,0
Francisco Conceição,Juventus FC,2024-25,FW,22,605,1,2
Francisco Trincão,Sporting CP,2024-25,MF,25,791,0,2
Franco Israel,Sporting CP,2024-25,GK,25,720,0,0
Fredrik Aursnes,SL Benfica,2024-25,MF,29,990,0,2
Fredrik Oppegård,PSV Eindhoven,2024-25,DF,22,19,0,0
Frenkie de Jong,FC Barcelona,2024-25,MF,28,800,0,0
Gabriel,Arsenal FC,2024-25,DF,27,804,1,0
Gabriel Gudmundsson,LOSC Lille,2024-25,DF,26,485,0,1
Gabriel Jesus,Arsenal FC,2024-25,FW,28,260,0,1
Gabriel Martinelli,Arsenal FC,2024-25,FW,23,937,2,2
Gavi,FC Barcelona,2024-25,MF,20,298,0,0
Geny Catamo,Sporting CP,2024-25,FW,24,504,1,2
George Ilenikhena,AS Monaco,2024-25,FW,18,109,2,0
Georgiy Sudakov,FC Shakhtar Donetsk,2024-25,MF,22,701,2,1
Geovany Quenda,Sporting CP,2024-25,FW,18,723,0,1
Gerard Martín,FC Barcelona,2024-25,DF,23,445,0,3
Gernot Trauner,Feyenoord Rotterdam,2024-25,DF,33,657,1,1
Giacomo De Pieri,Inter Milan,2024-25,FW,18,14,0,0
Gianluigi Donnarumma,Paris Saint-Germain,2024-25,GK,26,1380,0,0
Gijs Smal,Feyenoord Rotterdam,2024-25,DF,27,715,0,2
Giorgio Scalvini,Atalanta BC,2024-25,DF,21,35,0,0
Giovanni Fabbian,Bologna Football Club 1909,2024-25,MF,22,493,0,0
Giovanni Reyna,Borussia Dortmund,2024-25,MF,22,274,0,1
Giuliano Simeone,Atlético de Madrid,2024-25,FW,22,571,1,2
Givairo Read,Feyenoord Rotterdam,2024-25,DF,18,244,0,0
Gjivai Zechiël,Feyenoord Rotterdam,2024-25,MF,20,46,0,0
Gonçalo Inácio,Sporting CP,2024-25,DF,23,488,1,0
Gonçalo Ramos,Paris Saint-Germain,2024-25,FW,23,205,3,1
Granit Xhaka,Bayer 04 Leverkusen,2024-25,MF,32,818,0,0
Greg Taylor,Celtic FC,2024-25,DF,27,575,0,1
Gregor Kobel,Borussia Dortmund,2024-25,GK,27,1170,0,0
Grégoire Coudert,Stade Brestois 29,2024-25,GK,26,90,0,0
Gustaf Nilsson,Club Brugge KV,2024-25,FW,28,172,1,0
Guus Til,PSV Eindhoven,2024-25,MF,27,769,0,2
Guélor Kanga,Red Star Belgrade,2024-25,MF,34,141,1,0
Hakan Çalhanoğlu,Inter Milan,2024-25,MF,31,834,4,2
Hans Vanaken,Club Brugge KV,2024-25,MF,32,1080,1,1
Harry Kane,Bayern Munich,2024-25,FW,31,1119,11,2
Harvey Elliott,Liverpool FC,2024-25,MF,22,167,3,0
Hendry Blank,Fußballclub Red Bull Salzburg,2024-25,DF,20,283,0,0
Henrikh Mkhitaryan,Inter Milan,2024-25,MF,36,856,0,0
Hidemasa Morita,Sporting CP,2024-25,MF,30,371,0,0
Hiroki Ito,Bayern Munich,2024-25,DF,26,33,0,0
Hirving Lozano,PSV Eindhoven,2024-25,FW,29,33,0,0
Hugo Bueno,Feyenoord Rotterdam,2024-25,DF,22,546,0,1
Hugo Magnetti,Stade Brestois 29,2024-25,MF,27,697,1,1
Hugo Siquet,Club Brugge KV,2024-25,DF,22,68,0,0
Hugo Vetlesen,Club Brugge KV,2024-25,MF,25,182,0,1
Hyun-jun Yang,Celtic FC,2024-25,FW,23,154,0,1
Hákon Arnar Haraldsson,LOSC Lille,2024-25,MF,22,304,2,0
Héctor Fort,FC Barcelona,2024-25,DF,18,49,0,0
Ian Maatsen,Aston Villa,2024-25,DF,23,373,1,0
Ibrahim Osman,Feyenoord Rotterdam,2024-25,FW,20,315,0,0
Ibrahim Salah,Stade Brestois 29,2024-25,FW,23,66,0,0
Ibrahima Konaté,Liverpool FC,2024-25,DF,26,649,1,0
Idjessi Metsoko,Slovan Bratislava,2024-25,FW,23,153,1,0
Igor Paixão,Feyenoord Rotterdam,2024-25,FW,24,921,2,5
In-beom Hwang,Feyenoord Rotterdam,2024-25,MF,28,570,0,0
Indrit Tuci,AC Sparta Prague,2024-25,FW,24,42,0,0
Irakli Azarovi,FC Shakhtar Donetsk,2024-25,DF,23,162,0,1
Isaac Babadi,PSV Eindhoven,2024-25,MF,20,102,0,1
Isak Hien,Atalanta BC,2024-25,DF,26,710,0,1
Ismael Saibari,PSV Eindhoven,2024-25,MF,24,726,3,1
Ismaily,LOSC Lille,2024-25,DF,35,228,0,1
Ismaël Bennacer,AC Milan,2024-25,MF,27,75,0,1
Issa Kaboré,SL Benfica,2024-25,DF,24,98,0,0
Ivan Gutesa,Red Star Belgrade,2024-25,GK,23,270,0,0
Ivan Nevistic,GNK Dinamo Zagreb,2024-25,GK,26,450,0,0
Ivan Perišić,PSV Eindhoven,2024-25,FW,36,333,3,0
Iván Fresneda,Sporting CP,2024-25,DF,20,239,0,0
Iván Martín,Girona FC,2024-25,MF,26,332,0,0
Iñaki Peña,FC Barcelona,2024-25,GK,26,450,0,0
Iñigo Martínez,FC Barcelona,2024-25,DF,34,958,2,1
Jack Grealish,Manchester City,2024-25,FW,29,354,1,0
Jacob Ramsey,Aston Villa,2024-25,MF,24,391,1,2
Jacobo Ramón,Real Madrid,2024-25,DF,20,12,0,0
Jaden Philogene,Aston Villa,2024-25,FW,23,118,0,0
Jahmai Simpson-Pusey,Manchester City,2024-25,DF,19,112,0,0
Jakub Kiwior,Arsenal FC,2024-25,DF,25,771,0,0
Jakub Moder,Feyenoord Rotterdam,2024-25,MF,26,360,1,0
Jakub Pesek,AC Sparta Prague,2024-25,FW,31,130,0,0
Jamal Musiala,Bayern Munich,2024-25,MF,22,868,3,4
James Forrest,Celtic FC,2024-25,FW,33,60,0,1
James McAtee,Manchester City,2024-25,MF,22,106,1,0
James McConnell,Liverpool FC,2024-25,MF,20,90,0,0
Jamie Gittens,Borussia Dortmund,2024-25,FW,20,848,4,1
Jamie Leweling,VfB Stuttgart,2024-25,FW,24,412,2,1
Jan Oblak,Atlético de Madrid,2024-25,GK,32,930,0,0
Janis Blaswich,Fußballclub Red Bull Salzburg,2024-25,GK,34,381,0,0
Jaouen Hadjam,BSC Young Boys,2024-25,DF,22,481,0,0
Jarell Quansah,Liverpool FC,2024-25,DF,22,229,0,0
Jaroslav Zelený,AC Sparta Prague,2024-25,DF,32,297,0,0
Jarzinho Malanga,VfB Stuttgart,2024-25,FW,18,37,0,0
Jastin Garcia,Girona FC,2024-25,FW,21,11,0,0
Javi Galán,Atlético de Madrid,2024-25,DF,30,452,0,1
Javi Serrano,Atlético de Madrid,2024-25,MF,22,45,0,0
Jayden Danns,Liverpool FC,2024-25,FW,19,83,0,0
Jeanuël Belocian,Bayer 04 Leverkusen,2024-25,DF,20,11,0,0
Jeff Chabot,VfB Stuttgart,2024-25,DF,27,646,0,0
Jeffrey Schlupp,Celtic FC,2024-25,MF,32,115,0,0
Jens Odgaard,Bologna Football Club 1909,2024-25,MF,26,128,0,1
Jerdy Schouten,PSV Eindhoven,2024-25,MF,28,567,1,0
Jeremiah St. Juste,Sporting CP,2024-25,DF,28,289,0,0
Jeremie Frimpong,Bayer 04 Leverkusen,2024-25,DF,24,796,0,5
Jeyland Mitchell,Feyenoord Rotterdam,2024-25,DF,20,179,0,0
Jhon Durán,Aston Villa,2024-25,FW,21,240,3,0
Jhon Lucumí,Bologna Football Club 1909,2024-25,DF,26,530,1,0
Jhon Solís,Girona FC,2024-25,MF,20,96,0,0
Joaquin Seys,Club Brugge KV,2024-25,DF,20,768,0,0
Joe Gomez,Liverpool FC,2024-25,DF,28,119,0,0
Joel Ordóñez,Club Brugge KV,2024-25,DF,21,1048,0,0
Joey Veerman,PSV Eindhoven,2024-25,MF,26,545,0,3
Johan Bakayoko,PSV Eindhoven,2024-25,FW,22,861,2,1
John McGinn,Aston Villa,2024-25,MF,30,739,3,2
John Mellberg,Fußballclub Red Bull Salzburg,2024-25,DF,18,45,0,0
John Stones,Manchester City,2024-25,DF,31,364,1,2
Jonas Hofmann,Bayer 04 Leverkusen,2024-25,MF,32,130,0,1
Jonas Martin,Stade Brestois 29,2024-25,MF,35,76,0,0
Jonas Rouhi,Juventus FC,2024-25,DF,21,1,0,0
Jonas Urbig,Bayern Munich,2024-25,GK,21,302,0,0
Jonathan David,LOSC Lille,2024-25,FW,25,746,7,2
Jonathan Tah,Bayer 04 Leverkusen,2024-25,DF,29,900,0,0
Jordan Amavi,Stade Brestois 29,2024-25,DF,31,84,0,0
Jordan Lotomba,Feyenoord Rotterdam,2024-25,DF,26,281,0,1
Jordan Teze,AS Monaco,2024-25,DF,25,66,0,0
Jorginho,Arsenal FC,2024-25,MF,33,323,1,0
Josep Martínez,Inter Milan,2024-25,GK,27,90,0,0
Josha Vagnoman,VfB Stuttgart,2024-25,DF,24,546,1,1
Joshua Kimmich,Bayern Munich,2024-25,MF,30,1260,0,5
Josip Misic,GNK Dinamo Zagreb,2024-25,MF,30,481,0,1
Josip Stanisic,Bayern Munich,2024-25,DF,25,421,0,0
Josko Gvardiol,Manchester City,2024-25,DF,23,814,0,2
José María Giménez,Atlético de Madrid,2024-25,DF,30,750,1,0
Jota,Celtic FC,2024-25,FW,26,85,0,0
João Félix,AC Milan,2024-25,FW,25,180,0,0
João Neves,Paris Saint-Germain,2024-25,MF,20,1436,1,1
João Palhinha,Bayern Munich,2024-25,MF,29,171,0,0
João Rego,SL Benfica,2024-25,MF,19,30,0,0
João Simões,Sporting CP,2024-25,MF,18,234,0,1
Joël Drommel,PSV Eindhoven,2024-25,GK,28,90,0,0
Juan Cabal,Juventus FC,2024-25,DF,24,158,0,0
Juan Cuadrado,Atalanta BC,2024-25,MF,37,317,0,1
Juan Córdoba,GNK Dinamo Zagreb,2024-25,FW,21,16,0,0
Juan Miranda,Bologna Football Club 1909,2024-25,DF,25,304,0,0
