player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
88590,Shkodran Mustafi,Levante UD,2021-22,DF,30,659,1,0,2022-05-22,2022-06-03,2.0
89297,Rodrigo Battaglia,RCD Mallorca,2021-22,MF,30,1174,0,0,2022-05-22,2022-06-03,1.8
89733,Álex Fernández,Cádiz CF,2021-22,MF,29,2050,3,2,2022-05-22,2022-06-03,6.0
90451,Iván Marcone,Elche CF,2021-22,MF,31,807,0,0,2022-05-22,2022-06-03,2.0
91849,Thomas Delaney,Sevilla FC,2021-22,MF,30,1544,2,1,2022-05-22,2022-06-03,7.0
92947,Sergi Gómez,RCD Espanyol Barcelona,2021-22,DF,30,2724,1,2,2022-05-22,2022-06-03,3.0
93935,Sergio Escudero,Granada CF,2021-22,DF,32,1427,2,1,2022-05-22,2022-06-03,1.8
93936,Kike García,CA Osasuna,2021-22,FW,32,1859,5,2,2022-05-22,2022-06-03,1.8
94308,Marko Dmitrovic,Sevilla FC,2021-22,GK,30,540,0,0,2022-05-22,2022-06-03,5.0
95641,Darko Brasanac,CA Osasuna,2021-22,MF,30,2411,1,2,2022-05-22,2022-06-03,2.0
95732,Martin Braithwaite,FC Barcelona,2021-22,FW,30,236,2,1,2022-05-22,2022-06-03,6.0
95810,Kieran Trippier,Atlético de Madrid,2021-22,DF,31,979,0,0,2022-05-22,2022-06-15,15.0
95963,Germán Sánchez,Granada CF,2021-22,DF,35,2297,2,1,2022-05-22,2022-06-03,0.8
96718,Óscar de Marcos,Athletic Bilbao,2021-22,DF,33,1685,1,2,2022-05-22,2022-06-03,1.8
98322,Denis Cheryshev,Valencia CF,2021-22,FW,31,541,0,2,2022-05-22,2022-06-03,2.5
98596,John Guidetti,Deportivo Alavés,2021-22,FW,30,275,0,1,2022-05-22,2022-06-03,1.0
99353,Portu,Real Sociedad,2021-22,FW,30,1584,1,2,2022-05-22,2022-06-03,9.0
99559,Alberto Perea,Cádiz CF,2021-22,FW,31,775,0,1,2022-05-22,2022-06-03,1.0
99922,Marc Bartra,Real Betis Balompié,2021-22,DF,31,1994,1,0,2022-05-22,2022-06-03,6.0
100131,William Carvalho,Real Betis Balompié,2021-22,MF,30,1805,2,3,2022-05-22,2022-06-03,16.0
102146,Édgar Badía,Elche CF,2021-22,GK,30,2160,0,0,2022-05-22,2022-06-03,3.0
