player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
72441,Rafael Tolói,Atalanta BC,2021-22,DF,31,360,0,0,2022-05-28,2022-06-07,8.0
72522,Luuk de Jong,FC Barcelona,2021-22,FW,31,179,0,0,2022-05-28,2022-06-03,4.0
73250,Mario Gaspar,Villarreal CF,2021-22,DF,31,92,0,0,2022-05-28,2022-06-03,3.0
73741,Souza,Beşiktaş Jimnastik Kulübü,2021-22,MF,33,442,0,0,2022-05-28,2022-06-01,4.2
73794,Duván Zapata,Atalanta BC,2021-22,FW,31,464,3,2,2022-05-28,2022-06-07,28.0
74229,Koke,Atlético de Madrid,2021-22,MF,30,665,0,1,2022-05-28,2022-06-03,25.0
74230,Pablo Sarabia,Sporting CP,2021-22,MF,30,511,2,1,2022-05-28,2022-05-31,25.0
74683,Nemanja Matić,Manchester United,2021-22,MF,33,194,0,0,2022-05-28,2022-06-15,5.0
74857,Marc-André ter Stegen,FC Barcelona,2021-22,GK,30,540,0,0,2022-05-28,2022-06-03,30.0
74869,Francis Coquelin,Villarreal CF,2021-22,MF,31,462,1,1,2022-05-28,2022-06-03,5.0
76061,Sime Vrsaljko,Atlético de Madrid,2021-22,DF,30,303,0,0,2022-05-28,2022-06-03,5.0
77710,Necip Uysal,Beşiktaş Jimnastik Kulübü,2021-22,MF,31,189,0,0,2022-05-28,2022-06-01,0.85
77966,Oğuzhan Özyakup,Beşiktaş Jimnastik Kulübü,2021-22,MF,29,52,0,0,2022-05-28,2022-06-01,1.0
79422,Keylor Navas,Paris Saint-Germain,2021-22,GK,35,270,0,0,2022-05-28,2022-05-30,8.0
79960,Alex Sandro,Juventus FC,2021-22,DF,31,553,1,0,2022-05-28,2022-06-07,6.0
80293,Aïssa Mandi,Villarreal CF,2021-22,DF,30,24,0,0,2022-05-28,2022-06-03,6.0
80351,Josip Ilicic,Atalanta BC,2021-22,MF,34,249,1,1,2022-05-28,2022-06-07,1.0
80444,Philippe Coutinho,FC Barcelona,2021-22,MF,29,108,0,0,2022-05-28,2022-06-15,20.0
82105,Joel Matip,Liverpool FC,2021-22,DF,30,630,0,0,2022-05-28,2022-06-15,18.0
82130,Gökhan Töre,Beşiktaş Jimnastik Kulübü,2021-22,FW,30,75,0,0,2022-05-28,2022-06-01,0.3
82442,Olivier Giroud,AC Milan,2021-22,FW,35,260,0,0,2022-05-28,2022-06-07,3.5
