player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Héctor Fort,Barcelona,2024-25,DF,17.0,585,0,0,6,10,2,13,6
Iago Aspas,Celta Vigo,2024-25,FW,36.0,1745,10,5,46,38,15,13,8
Iago Parente,Valladolid,2024-25,DF,18.0,71,0,0,0,1,0,0,0
Ibrahim Alani,Valladolid,2024-25,MF,18.0,160,0,0,1,0,1,12,1
Iglesias,Getafe,2024-25,DF,26.0,2888,0,1,21,20,13,81,50
Igor Zubeldia,Real Sociedad,2024-25,DF,27.0,2269,0,0,12,4,6,34,31
Iker Almena,Girona,2024-25,FW,20.0,48,0,1,1,2,2,0,0
Iker Benito,Osasuna,2024-25,FW,21.0,37,0,0,0,1,0,0,1
Iker Córdoba,Valencia,2024-25,DF,18.0,15,0,0,0,1,0,0,0
Iker Losada,Celta Vigo,2024-25,FW,22.0,694,1,0,8,11,4,13,4
Iker Muñoz,Osasuna,2024-25,MF,21.0,610,0,1,11,6,2,5,4
Ilaix Moriba,Celta Vigo,2024-25,MF,21.0,2132,1,1,34,20,15,68,14
Ilias Akhomach,Villarreal,2024-25,MF,20.0,584,1,0,17,9,19,12,3
Irvin Cardona,Espanyol,2024-25,FW,26.0,606,1,1,10,9,3,8,4
Isaac Palazón Camacho,Rayo Vallecano,2024-25,MF,29.0,2162,4,4,61,48,25,22,8
Isaac Romero,Sevilla,2024-25,FW,24.0,2156,4,2,53,20,21,13,7
Isco,Betis,2024-25,MF,32.0,1547,9,8,38,61,27,20,11
Ismael Bekhoucha,Getafe,2024-25,MF,19.0,69,0,0,0,0,2,1,2
Israel Domínguez,Sevilla,2024-25,FW,21.0,18,0,0,0,0,0,0,0
Ivan Jaime Pajuelo,Valencia,2024-25,MF,23.0,297,0,0,8,4,5,8,2
Iván Balliu,Rayo Vallecano,2024-25,DF,32.0,1200,0,0,1,7,3,17,13
Iván Martín,Girona,2024-25,MF,25.0,2039,1,1,11,22,25,32,11
Iván Sánchez,Valladolid,2024-25,MF,31.0,1404,2,1,15,24,28,37,14
Iván Villar,Celta Vigo,2024-25,GK,27.0,360,0,0,0,0,0,0,0
Iñaki Peña,Barcelona,2024-25,GK,25.0,1396,0,0,0,0,0,0,0
Iñaki Williams,Athletic Club,2024-25,FW,30.0,2652,6,8,63,43,33,17,12
Iñigo Lekue,Athletic Club,2024-25,DF,31.0,773,0,0,2,8,6,15,9
Iñigo Martínez,Barcelona,2024-25,DF,33.0,2490,0,4,13,16,3,25,18
Iñigo Ruiz de Galarreta,Athletic Club,2024-25,MF,30.0,1477,0,4,11,28,16,36,16
Jacobo Ramón,Real Madrid,2024-25,DF,19.0,204,1,0,2,1,0,7,3
Jailson Siqueira,Celta Vigo,2024-25,DF,28.0,614,0,0,4,1,3,13,9
Jaime Mata,Las Palmas,2024-25,FW,35.0,656,0,0,17,3,5,8,3
James Rodríguez,Rayo Vallecano,2024-25,MF,33.0,140,0,0,4,2,5,3,1
Jan Oblak,Atlético Madrid,2024-25,GK,31.0,3240,0,0,0,0,2,0,0
Jan Salas,Mallorca,2024-25,MF,18.0,43,0,0,2,0,0,3,0
Jasper Cillessen,Las Palmas,2024-25,GK,35.0,2335,0,0,0,0,0,1,0
Javi Galán,Atlético Madrid,2024-25,DF,29.0,1784,0,3,9,15,28,51,12
Javi Hernández,Leganés,2024-25,DF,26.0,2389,2,1,17,17,16,26,23
Javi López,Real Sociedad,2024-25,DF,22.0,1936,0,0,5,5,18,40,11
Javi Martínez,Osasuna,2024-25,MF,24.0,6,0,0,0,0,0,0,0
Javi Martón,Athletic Club,2024-25,FW,25.0,53,0,0,0,0,0,0,0
Javi Puado,Espanyol,2024-25,FW,26.0,2974,12,4,66,22,21,22,5
Javi Rodríguez,Celta Vigo,2024-25,DF,21.0,2514,3,2,12,13,10,53,33
Javi Sánchez,Valladolid,2024-25,DF,27.0,2026,2,0,11,6,2,26,22
Javier Guerra,Valencia,2024-25,MF,21.0,2581,3,3,47,23,29,50,20
Javier Llabrés,Mallorca,2024-25,FW,21.0,57,0,0,1,1,0,0,0
Javier Manquillo,Celta Vigo,2024-25,DF,30.0,515,0,0,0,0,0,7,7
Javier Muñoz,Las Palmas,2024-25,MF,29.0,2588,1,3,25,29,21,45,31
Jesus Rodríguez,Betis,2024-25,FW,18.0,1111,2,0,23,8,30,16,6
Jesus Vazquez,Valencia,2024-25,DF,21.0,919,0,0,5,3,14,23,10
Jesús Areso,Osasuna,2024-25,DF,25.0,3079,0,3,8,30,24,53,8
Jesús Navas,Sevilla,2024-25,FW,38.0,424,1,0,3,10,4,5,4
Jesús Owono,Alavés,2024-25,GK,23.0,487,0,0,0,0,1,1,0
Jesús Santiago,Getafe,2024-25,MF,20.0,372,0,0,1,0,1,14,1
Jesús Vallejo,Real Madrid,2024-25,DF,27.0,138,0,1,0,2,0,0,2
Jhon Solis,Girona,2024-25,MF,19.0,535,1,0,4,2,5,13,4
Joan García,Espanyol,2024-25,GK,23.0,3420,0,0,1,0,0,0,0
Joan Jordán,Alavés,2024-25,MF,30.0,1414,5,2,13,31,6,32,9
Jofre,Espanyol,2024-25,MF,23.0,2165,3,3,40,24,39,22,15
Johan Mojica,Mallorca,2024-25,DF,31.0,2755,1,2,17,40,33,35,26
John Joe,Getafe,2024-25,MF,20.0,48,0,0,2,0,2,0,0
Johnny Cardoso,Betis,2024-25,MF,22.0,2144,3,1,19,9,26,55,48
Jon Aramburu,Real Sociedad,2024-25,DF,22.0,2460,1,1,11,15,8,102,30
Jon Guridi,Alavés,2024-25,MF,29.0,2080,3,1,23,17,8,40,14
Jon Magunazelaia,Real Sociedad,2024-25,MF,23.0,7,0,0,0,0,0,1,0
Jon Martin,Real Sociedad,2024-25,DF,18.0,904,0,1,9,4,0,11,7
Jon Moncayola,Osasuna,2024-25,MF,26.0,2099,0,0,21,33,4,70,11
Jon Pacheco,Real Sociedad,2024-25,DF,23.0,854,0,0,1,1,1,15,9
Jonathan Bamba,Celta Vigo,2024-25,FW,28.0,811,0,1,13,12,15,12,5
