player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Jordan Amavi,Brest,2024-25,DF,30.0,790,0,0,8,6,7,24,7
Jordan Ferri,Montpellier,2024-25,MF,32.0,1773,0,2,14,13,9,42,9
Jordan James,Rennes,2024-25,MF,20.0,1178,0,1,17,24,9,30,14
Jordan Lefort,Angers,2024-25,DF,30.0,3060,0,1,9,10,8,52,32
Jordan Lotomba,Nice,2024-25,MF,25.0,35,0,0,0,0,1,0,0
Jordan Pefok,Reims,2024-25,FW,28.0,380,1,0,11,3,2,3,2
Jordan Teze,Monaco,2024-25,DF,24.0,569,1,0,5,13,5,18,6
Jordan Veretout,Lyon,2024-25,MF,31.0,1553,2,0,21,13,5,30,5
Joris Chotard,Montpellier,2024-25,MF,22.0,1892,1,0,19,7,8,39,19
Joseph Okumu,Reims,2024-25,DF,27.0,1695,1,0,12,4,14,30,25
Joshua King,Toulouse,2024-25,FW,32.0,1673,6,3,50,17,35,11,6
Josué Casimir,Le Havre,2024-25,FW,22.0,1997,4,4,27,26,22,37,7
Jota,Rennes,2024-25,FW,25.0,334,1,0,4,5,4,5,3
João Neves,Paris S-G,2024-25,MF,19.0,1844,3,8,28,33,16,63,23
Jubal,Auxerre,2024-25,DF,30.0,2640,6,0,26,6,3,60,25
Julien Le Cardinal,Brest,2024-25,DF,26.0,1378,0,1,10,5,4,27,33
Juma Bah,Lens,2024-25,DF,18.0,686,0,0,2,2,3,16,17
Junior Mwanga,Le Havre,2024-25,MF,21.0,1248,1,2,16,8,9,43,10
Junior Ndiaye,Montpellier,2024-25,FW,19.0,441,0,0,5,5,2,3,0
Junya Ito,Reims,2024-25,FW,31.0,2690,4,3,31,82,47,45,13
Justin Bourgault,Brest,2024-25,DF,18.0,122,1,0,2,1,0,2,0
Justin-Noël Kalumba,Angers,2024-25,FW,19.0,31,0,0,1,0,1,0,1
Jérémy Jacquet,Rennes,2024-25,DF,19.0,927,0,1,8,4,5,26,27
Jérémy Le Douaron,Brest,2024-25,FW,26.0,102,0,0,2,0,0,1,0
Jérémy Sebas,Strasbourg,2024-25,FW,21.0,190,0,0,6,1,6,3,0
Kamory Doumbia,Brest,2024-25,MF,21.0,1322,3,2,22,26,19,41,28
Kandet Diawara,Le Havre,2024-25,FW,24.0,4,0,0,0,0,0,0,0
Karl-Johan Johnsson,Strasbourg,2024-25,GK,34.0,270,0,0,0,0,0,0,0
Karol Fila,Strasbourg,2024-25,MF,26.0,5,0,0,0,0,0,0,0
Kassoum Ouattara,Monaco,2024-25,DF,19.0,391,0,1,2,6,5,9,5
Kazeem Olaigbe,Rennes,2024-25,MF,21.0,299,0,2,6,15,13,6,0
Keito Nakamura,Reims,2024-25,FW,24.0,2649,11,2,84,26,30,24,13
Kelvin Amian,Nantes,2024-25,DF,26.0,2165,1,0,7,13,13,55,13
Kembo Diliwidi,Lens,2024-25,DF,18.0,4,0,0,0,0,0,0,0
Kenny Lala,Brest,2024-25,DF,32.0,2686,3,2,9,41,15,66,25
Kevin Danso,Lens,2024-25,DF,25.0,1080,0,0,10,6,1,19,20
Keyliane Abdallah,Marseille,2024-25,FW,18.0,3,0,0,0,0,0,1,0
Khalil Fayad,Montpellier,2024-25,MF,20.0,1028,0,0,17,7,17,31,10
Khvicha Kvaratskhelia,Paris S-G,2024-25,FW,23.0,916,4,3,34,25,25,19,2
Ki-Jana Hoever,Auxerre,2024-25,DF,22.0,2124,1,2,10,24,9,51,21
Kjetil Haug,Toulouse,2024-25,GK,26.0,498,0,0,0,0,0,0,0
Koka,Le Havre,2024-25,FW,31.0,851,3,1,20,5,6,4,4
Krépin Diatta,Monaco,2024-25,DF,25.0,508,0,0,2,4,8,18,9
Kyllian Antonio,Lens,2024-25,DF,16.0,139,0,0,1,0,1,3,3
Kyogo Furuhashi,Rennes,2024-25,FW,29.0,123,0,0,1,0,0,2,0
Kévin Danois,Auxerre,2024-25,MF,20.0,1460,0,0,17,25,21,49,20
Kévin Pedro,Saint-Étienne,2024-25,DF,18.0,10,0,0,0,0,1,3,2
Lamine Camara,Monaco,2024-25,MF,20.0,2054,2,7,26,44,12,66,31
Lamine Fomba,Saint-Étienne,2024-25,MF,26.0,217,0,0,1,1,2,8,4
Lanroy Machine,Angers,2024-25,FW,18.0,8,0,0,1,0,0,0,0
Lassine Sinayoko,Auxerre,2024-25,FW,24.0,2299,5,8,60,37,28,33,13
Lasso Coulibaly,Auxerre,2024-25,FW,21.0,45,1,0,3,1,1,1,0
Lee Kang-in,Paris S-G,2024-25,FW,23.0,1663,6,6,41,56,29,25,3
Leo Skiri Østigård,Rennes,2024-25,DF,24.0,1227,1,0,6,2,1,20,15
Leonardo Balerdi,Marseille,2024-25,DF,25.0,2273,0,0,15,8,22,54,38
Lilian Brassier,Rennes,2024-25,DF,24.0,2013,1,1,19,7,3,23,31
Lilian Raolisoa,Angers,2024-25,DF,24.0,1318,0,3,14,14,23,41,15
Logan Costa,Toulouse,2024-25,DF,23.0,90,0,0,0,1,0,2,2
Lois Diony,Angers,2024-25,FW,31.0,21,0,0,0,0,0,0,0
Lorenz Assignon,Rennes,2024-25,DF,24.0,2357,3,4,22,29,28,49,25
Louis Leroux,Nantes,2024-25,MF,18.0,816,2,1,9,12,8,25,8
Louis Mouton,Saint-Étienne,2024-25,MF,22.0,1045,0,1,19,16,12,49,10
Loïc N'Gatta,Auxerre,2024-25,DF,20.0,13,0,0,0,0,0,1,0
Loïc Nego,Le Havre,2024-25,DF,33.0,2459,0,0,11,13,17,58,29
Lucas Beraldo,Paris S-G,2024-25,DF,20.0,2011,1,0,12,8,1,38,21
Lucas Chevalier,Lille,2024-25,GK,22.0,3060,0,0,0,3,0,3,0
Lucas Hernández,Paris S-G,2024-25,DF,28.0,877,0,0,3,1,2,24,7
Lucas Michal,Monaco,2024-25,FW,19.0,117,0,0,3,1,1,5,1
Lucas Mincarelli,Montpellier,2024-25,DF,20.0,715,1,0,7,3,1,17,9
Lucas Perri,Lyon,2024-25,GK,26.0,2970,0,0,0,1,0,1,0
Lucas Stassin,Saint-Étienne,2024-25,FW,19.0,1887,12,4,44,18,15,16,3
Luck Zogbé,Brest,2024-25,DF,19.0,638,0,0,8,4,4,32,14
Ludovic Ajorque,Brest,2024-25,FW,30.0,2495,13,2,53,35,8,26,6
Ludovic Blas,Rennes,2024-25,MF,26.0,2293,6,8,57,47,44,38,13
Luis Henrique,Marseille,2024-25,DF,22.0,2613,7,7,30,53,51,16,10
Luiz Felipe,Marseille,2024-25,DF,27.0,122,0,0,0,0,1,4,3
Léo Pétrot,Saint-Étienne,2024-25,DF,27.0,2634,0,3,7,16,7,62,42
M'Bala Nzola,Lens,2024-25,FW,27.0,1460,6,1,47,20,14,5,5
Maghnes Akliouche,Monaco,2024-25,FW,22.0,2406,5,10,61,49,50,51,15
Mahamadou Diawara,Le Havre,2024-25,MF,19.0,598,0,1,7,7,6,21,13
Mahamadou Nagida,Rennes,2024-25,DF,19.0,430,2,0,6,3,5,8,9
Mahdi Camara,Brest,2024-25,MF,26.0,2659,5,3,49,26,29,71,33
Malang Sarr,Lens,2024-25,DF,25.0,1385,0,0,6,5,2,21,22
Malcolm Jeng,Reims,2024-25,DF,19.0,107,0,0,0,0,0,0,3
Malick Fofana,Lyon,2024-25,FW,19.0,1589,5,4,31,25,24,22,8
Mama Samba Baldé,Brest,2024-25,FW,28.0,1182,2,3,30,16,17,15,7
Mamadou Coulibaly,Monaco,2024-25,MF,20.0,8,0,0,1,0,1,1,0
Mamadou Diakhon,Reims,2024-25,FW,18.0,858,2,1,18,13,25,12,4
Mamadou Sarr,Strasbourg,2024-25,DF,18.0,2365,0,1,5,5,10,37,25
Marcin Bułka,Nice,2024-25,GK,24.0,3060,0,0,0,1,0,0,0
Marco Asensio,Paris S-G,2024-25,FW,28.0,618,2,4,26,16,4,4,0
