date,season,home_team,away_team,home_score,away_score
1994-02-05,1993-94,Martigues,Lyon,0,1
1994-02-05,1993-94,Nantes,Lille,2,0
1994-02-05,1993-94,Paris SG,Angers,3,0
1994-02-05,1993-94,St Etienne,Marseille,0,0
1994-02-06,1993-94,Monaco,Strasbourg,2,1
1994-02-08,1993-94,Caen,Le Havre,1,1
1994-02-09,1993-94,Angers,Cannes,1,1
1994-02-09,1993-94,Auxerre,Martigues,3,0
1994-02-09,1993-94,Lille,Monaco,1,1
1994-02-09,1993-94,Lyon,Lens,1,2
1994-02-09,1993-94,Marseille,Toulouse,5,1
1994-02-09,1993-94,Metz,Bordeaux,1,0
1994-02-09,1993-94,Montpellier,Paris SG,0,0
1994-02-09,1993-94,Sochaux,St Etienne,3,2
1994-02-09,1993-94,Strasbourg,Nantes,0,3
1994-02-19,1993-94,Cannes,Montpellier,2,0
1994-02-19,1993-94,Le Havre,Metz,0,1
1994-02-19,1993-94,Lens,Auxerre,1,1
1994-02-19,1993-94,Martigues,Strasbourg,0,3
1994-02-19,1993-94,Monaco,Sochaux,2,0
1994-02-19,1993-94,Nantes,Angers,2,1
1994-02-19,1993-94,Paris SG,Lyon,0,0
1994-02-19,1993-94,St Etienne,Lille,2,1
1994-02-19,1993-94,Toulouse,Caen,0,1
1994-02-20,1993-94,Bordeaux,Marseille,1,0
1994-02-24,1993-94,Auxerre,Paris SG,0,0
1994-02-25,1993-94,Angers,Monaco,1,1
1994-02-25,1993-94,Caen,Nantes,0,0
1994-02-25,1993-94,Lille,Bordeaux,1,1
1994-02-25,1993-94,Lyon,Cannes,2,2
1994-02-25,1993-94,Martigues,Lens,1,2
1994-02-25,1993-94,Metz,Marseille,0,0
1994-02-25,1993-94,Montpellier,Toulouse,3,1
1994-02-25,1993-94,Sochaux,Le Havre,4,2
1994-02-25,1993-94,Strasbourg,St Etienne,2,0
1994-03-05,1993-94,Bordeaux,Strasbourg,2,0
1994-03-05,1993-94,Cannes,Metz,2,0
1994-03-05,1993-94,Le Havre,Angers,2,1
1994-03-05,1993-94,Lens,Sochaux,2,0
1994-03-05,1993-94,Marseille,Lille,3,2
1994-03-05,1993-94,Monaco,Caen,3,0
1994-03-05,1993-94,Nantes,Lyon,1,0
1994-03-05,1993-94,St Etienne,Montpellier,2,0
1994-03-05,1993-94,Toulouse,Auxerre,0,0
1994-03-06,1993-94,Paris SG,Martigues,2,2
1994-03-11,1993-94,Angers,Toulouse,0,0
1994-03-11,1993-94,Auxerre,Le Havre,3,0
1994-03-11,1993-94,Caen,St Etienne,1,0
1994-03-11,1993-94,Lens,Paris SG,1,2
1994-03-11,1993-94,Lyon,Monaco,1,0
1994-03-11,1993-94,Martigues,Cannes,4,0
1994-03-11,1993-94,Montpellier,Bordeaux,1,0
1994-03-11,1993-94,Sochaux,Lille,1,0
1994-03-11,1993-94,Strasbourg,Marseille,1,1
1994-03-13,1993-94,Metz,Nantes,2,0
1994-03-25,1993-94,Monaco,Auxerre,0,1
1994-03-25,1993-94,Paris SG,Metz,1,0
1994-03-26,1993-94,Bordeaux,Caen,3,0
1994-03-26,1993-94,Cannes,Lens,3,1
1994-03-26,1993-94,Le Havre,Lyon,0,1
1994-03-26,1993-94,Lille,Strasbourg,1,1
1994-03-26,1993-94,Marseille,Montpellier,1,1
1994-03-26,1993-94,Nantes,Sochaux,2,0
1994-03-26,1993-94,St Etienne,Angers,2,0
1994-03-26,1993-94,Toulouse,Martigues,2,2
1994-04-01,1993-94,Auxerre,Nantes,3,1
1994-04-02,1993-94,Angers,Bordeaux,1,3
1994-04-02,1993-94,Caen,Strasbourg,3,1
1994-04-02,1993-94,Lens,Le Havre,5,1
1994-04-02,1993-94,Lyon,Toulouse,1,0
1994-04-02,1993-94,Martigues,Monaco,1,3
1994-04-02,1993-94,Metz,St Etienne,0,1
1994-04-02,1993-94,Montpellier,Lille,1,3
1994-04-02,1993-94,Paris SG,Cannes,2,1
1994-04-02,1993-94,Sochaux,Marseille,1,1
1994-04-05,1993-94,Bordeaux,Sochaux,4,1
1994-04-05,1993-94,Cannes,Auxerre,2,1
1994-04-05,1993-94,Le Havre,Martigues,2,0
1994-04-05,1993-94,Lille,Caen,3,1
1994-04-05,1993-94,Marseille,Angers,2,1
1994-04-05,1993-94,Monaco,Lens,0,0
1994-04-05,1993-94,Nantes,Paris SG,3,0
1994-04-05,1993-94,Strasbourg,Montpellier,0,1
1994-04-05,1993-94,Toulouse,Metz,2,2
1994-04-06,1993-94,St Etienne,Lyon,3,0
1994-04-12,1993-94,Angers,Lille,1,2
1994-04-12,1993-94,Auxerre,St Etienne,3,0
1994-04-12,1993-94,Caen,Marseille,1,0
1994-04-12,1993-94,Cannes,Le Havre,1,0
1994-04-12,1993-94,Lens,Toulouse,4,0
1994-04-12,1993-94,Lyon,Bordeaux,4,2
1994-04-12,1993-94,Martigues,Nantes,1,2
1994-04-12,1993-94,Metz,Montpellier,1,1
1994-04-12,1993-94,Paris SG,Monaco,1,1
1994-04-12,1993-94,Sochaux,Strasbourg,1,3
1994-04-22,1993-94,Monaco,Cannes,2,0
1994-04-26,1993-94,Bordeaux,Auxerre,2,0
1994-04-26,1993-94,Le Havre,Paris SG,0,2
1994-04-26,1993-94,Lille,Metz,0,4
1994-04-26,1993-94,Marseille,Lyon,3,0
1994-04-26,1993-94,Montpellier,Caen,0,0
1994-04-26,1993-94,Nantes,Lens,2,1
1994-04-26,1993-94,St Etienne,Martigues,1,1
1994-04-26,1993-94,Strasbourg,Angers,2,2
1994-04-26,1993-94,Toulouse,Sochaux,3,2
1994-04-29,1993-94,Cannes,Nantes,4,0
1994-04-30,1993-94,Angers,Montpellier,2,3
1994-04-30,1993-94,Auxerre,Marseille,2,2
1994-04-30,1993-94,Le Havre,Monaco,1,0
1994-04-30,1993-94,Lens,St Etienne,3,1
1994-04-30,1993-94,Lyon,Lille,0,0
1994-04-30,1993-94,Martigues,Bordeaux,0,0
1994-04-30,1993-94,Metz,Strasbourg,2,1
1994-04-30,1993-94,Paris SG,Toulouse,1,0
1994-04-30,1993-94,Sochaux,Caen,0,0
1994-05-07,1993-94,Bordeaux,Lens,4,2
1994-05-07,1993-94,Caen,Angers,2,3
1994-05-07,1993-94,Lille,Auxerre,1,1
1994-05-07,1993-94,Marseille,Martigues,0,0
1994-05-07,1993-94,Monaco,Metz,1,1
1994-05-07,1993-94,Montpellier,Sochaux,1,0
1994-05-07,1993-94,Nantes,Le Havre,3,1
1994-05-07,1993-94,St Etienne,Paris SG,1,2
1994-05-07,1993-94,Strasbourg,Lyon,0,1
1994-05-07,1993-94,Toulouse,Cannes,1,2
1994-05-21,1993-94,Angers,Sochaux,1,2
1994-05-21,1993-94,Auxerre,Strasbourg,2,1
1994-05-21,1993-94,Cannes,St Etienne,0,0
1994-05-21,1993-94,Le Havre,Toulouse,1,1
1994-05-21,1993-94,Lens,Marseille,2,3
1994-05-21,1993-94,Lyon,Montpellier,3,2
1994-05-21,1993-94,Martigues,Lille,2,2
1994-05-21,1993-94,Metz,Caen,2,1
1994-05-21,1993-94,Monaco,Nantes,1,0
1994-05-21,1993-94,Paris SG,Bordeaux,4,1
1994-07-28,1994-95,Bordeaux,Nice,1,0
1994-07-29,1994-95,Cannes,Bastia,0,0
1994-07-29,1994-95,Le Havre,Paris SG,0,0
1994-07-29,1994-95,Lens,Lille,1,1
1994-07-29,1994-95,Monaco,Metz,0,1
1994-07-29,1994-95,Montpellier,Martigues,0,1
1994-07-29,1994-95,Nantes,Lyon,1,1
1994-07-29,1994-95,Sochaux,Caen,2,0
1994-07-29,1994-95,St Etienne,Rennes,1,1
1994-07-29,1994-95,Strasbourg,Auxerre,1,1
1994-08-01,1994-95,Auxerre,Nantes,1,2
1994-08-02,1994-95,Caen,Cannes,0,1
1994-08-02,1994-95,Lille,Strasbourg,1,0
1994-08-02,1994-95,Lyon,Monaco,3,1
1994-08-02,1994-95,Martigues,St Etienne,1,1
1994-08-02,1994-95,Metz,Bastia,1,2
1994-08-02,1994-95,Montpellier,Bordeaux,0,1
1994-08-02,1994-95,Nice,Sochaux,1,0
1994-08-02,1994-95,Paris SG,Lens,1,0
1994-08-02,1994-95,Rennes,Le Havre,0,0
1994-08-05,1994-95,Bordeaux,Martigues,1,1
1994-08-05,1994-95,Cannes,Metz,1,0
1994-08-05,1994-95,Le Havre,Nice,1,1
1994-08-05,1994-95,Lens,Rennes,5,0
1994-08-05,1994-95,Monaco,Auxerre,0,0
1994-08-05,1994-95,Nantes,Caen,2,1
1994-08-05,1994-95,Sochaux,Lille,3,0
1994-08-05,1994-95,St Etienne,Montpellier,4,0
1994-08-05,1994-95,Strasbourg,Paris SG,2,0
1994-08-06,1994-95,Bastia,Lyon,0,1
1994-08-12,1994-95,Caen,Monaco,0,1
1994-08-13,1994-95,Auxerre,Bastia,2,1
1994-08-13,1994-95,Lille,Nantes,1,2
1994-08-13,1994-95,Lyon,Metz,1,0
1994-08-13,1994-95,Martigues,Le Havre,2,1
1994-08-13,1994-95,Montpellier,Lens,1,2
1994-08-13,1994-95,Nice,Cannes,2,1
1994-08-13,1994-95,Paris SG,Sochaux,1,1
1994-08-13,1994-95,Rennes,Bordeaux,2,0
1994-08-13,1994-95,St Etienne,Strasbourg,2,0
1994-08-19,1994-95,Nantes,Paris SG,1,0
1994-08-20,1994-95,Bastia,Caen,1,0
1994-08-20,1994-95,Bordeaux,St Etienne,2,1
1994-08-20,1994-95,Cannes,Lyon,5,1
1994-08-20,1994-95,Le Havre,Montpellier,1,2
1994-08-20,1994-95,Lens,Martigues,2,1
1994-08-20,1994-95,Metz,Auxerre,1,1
1994-08-20,1994-95,Monaco,Lille,2,0
1994-08-20,1994-95,Sochaux,Rennes,1,3
1994-08-20,1994-95,Strasbourg,Nice,3,2
1994-08-26,1994-95,Rennes,Strasbourg,1,1
1994-08-27,1994-95,Auxerre,Lyon,0,0
1994-08-27,1994-95,Bordeaux,Cannes,0,2
1994-08-27,1994-95,Caen,Metz,2,0
1994-08-27,1994-95,Lille,Bastia,3,0
1994-08-27,1994-95,Martigues,Sochaux,2,0
1994-08-27,1994-95,Montpellier,Nantes,2,2
1994-08-27,1994-95,Nice,Lens,1,1
1994-08-27,1994-95,Paris SG,Monaco,1,0
1994-08-27,1994-95,St Etienne,Le Havre,4,1
1994-08-30,1994-95,Cannes,Auxerre,3,1
1994-08-31,1994-95,Bastia,Paris SG,1,2
1994-08-31,1994-95,Le Havre,Bordeaux,1,1
1994-08-31,1994-95,Lens,St Etienne,0,0
1994-08-31,1994-95,Lyon,Caen,1,0
1994-08-31,1994-95,Metz,Lille,1,1
1994-08-31,1994-95,Monaco,Nice,0,2
1994-08-31,1994-95,Nantes,Rennes,2,0
1994-08-31,1994-95,Sochaux,Montpellier,2,0
1994-08-31,1994-95,Strasbourg,Martigues,5,0
1994-09-09,1994-95,Rennes,Cannes,3,1
1994-09-10,1994-95,Bordeaux,Lens,1,2
1994-09-10,1994-95,Caen,Auxerre,1,5
1994-09-10,1994-95,Le Havre,Monaco,1,0
1994-09-10,1994-95,Lille,Lyon,1,4
1994-09-10,1994-95,Martigues,Nantes,3,3
1994-09-10,1994-95,Montpellier,Strasbourg,1,1
1994-09-10,1994-95,Nice,Bastia,1,2
1994-09-10,1994-95,Paris SG,Metz,3,0
1994-09-10,1994-95,St Etienne,Sochaux,4,0
1994-09-17,1994-95,Bastia,Montpellier,1,1
1994-09-17,1994-95,Cannes,Martigues,0,1
1994-09-17,1994-95,Lens,Le Havre,1,1
1994-09-17,1994-95,Metz,Nice,0,0
1994-09-17,1994-95,Monaco,Rennes,0,0
1994-09-17,1994-95,Nantes,St Etienne,3,0
1994-09-17,1994-95,Sochaux,Bordeaux,1,4
1994-09-17,1994-95,Strasbourg,Caen,1,0
1994-09-18,1994-95,Auxerre,Lille,2,0
1994-09-18,1994-95,Lyon,Paris SG,2,0
1994-09-22,1994-95,Montpellier,Monaco,2,2
1994-09-23,1994-95,Bordeaux,Strasbourg,2,0
1994-09-23,1994-95,Le Havre,Sochaux,2,0
1994-09-23,1994-95,Lens,Cannes,0,2
1994-09-23,1994-95,Lille,Caen,1,1
1994-09-23,1994-95,Martigues,Bastia,5,2
1994-09-23,1994-95,Nice,Nantes,1,3
1994-09-23,1994-95,Paris SG,Auxerre,1,1
1994-09-23,1994-95,Rennes,Metz,1,2
1994-09-23,1994-95,St Etienne,Lyon,1,1
1994-10-01,1994-95,Bastia,Rennes,1,2
1994-10-01,1994-95,Caen,Paris SG,1,2
1994-10-01,1994-95,Cannes,Lille,0,0
1994-10-01,1994-95,Lyon,Nice,1,1
1994-10-01,1994-95,Metz,Montpellier,0,0
1994-10-01,1994-95,Monaco,Martigues,1,0
1994-10-01,1994-95,Nantes,Bordeaux,3,3
1994-10-01,1994-95,Sochaux,Lens,1,1
1994-10-01,1994-95,Strasbourg,Le Havre,3,0
1994-10-02,1994-95,Auxerre,St Etienne,3,0
1994-10-10,1994-95,Lens,Strasbourg,1,0
1994-10-11,1994-95,Bordeaux,Monaco,0,3
1994-10-11,1994-95,Le Havre,Nantes,0,0
1994-10-11,1994-95,Martigues,Metz,1,1
1994-10-11,1994-95,Montpellier,Lyon,2,2
1994-10-11,1994-95,Nice,Caen,0,1
1994-10-11,1994-95,Paris SG,Lille,3,0
1994-10-11,1994-95,Rennes,Auxerre,2,2
1994-10-11,1994-95,Sochaux,Cannes,2,1
1994-10-11,1994-95,St Etienne,Bastia,1,2
1994-10-14,1994-95,Auxerre,Martigues,3,0
1994-10-14,1994-95,Bastia,Bordeaux,0,0
1994-10-14,1994-95,Caen,Montpellier,1,0
1994-10-14,1994-95,Cannes,Paris SG,3,2
1994-10-14,1994-95,Lille,Nice,1,0
1994-10-14,1994-95,Lyon,Rennes,3,0
1994-10-14,1994-95,Metz,Le Havre,2,1
1994-10-14,1994-95,Nantes,Lens,3,0
1994-10-14,1994-95,Strasbourg,Sochaux,3,2
1994-10-16,1994-95,Monaco,St Etienne,0,0
1994-10-22,1994-95,Bordeaux,Metz,4,2
1994-10-22,1994-95,Le Havre,Bastia,2,2
1994-10-22,1994-95,Lens,Lyon,4,0
1994-10-22,1994-95,Martigues,Caen,4,1
1994-10-22,1994-95,Nice,Paris SG,0,4
1994-10-22,1994-95,Rennes,Lille,1,0
1994-10-22,1994-95,Sochaux,Nantes,0,0
1994-10-22,1994-95,St Etienne,Cannes,1,0
1994-10-22,1994-95,Strasbourg,Monaco,1,0
1994-10-23,1994-95,Montpellier,Auxerre,1,1
1994-10-27,1994-95,Lyon,Bordeaux,1,1
1994-10-28,1994-95,Auxerre,Nice,3,0
1994-10-28,1994-95,Bastia,Lens,1,3
1994-10-28,1994-95,Caen,Rennes,5,1
